Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=952BF1DACC3DB2B1C984EE4C8F6437F6?SERIES_KEY=429.RESR.Q.IT._T.N._TR.TVAL.IT2.TB.N.IX
,RESR.Q.IT._T.N._TR.TVAL.IT2.TB.N.IX
,"Italy - Whole country; Transaction value - Index; Residential property, All dwelling types, new and existing; Compiled by Banca d` Italia (Italy)"
Collection:,Average of observations through period (A)
Period\Unit:,[2015=100]
,,obs. status
2022Q2,108.10,Normal value (A)
2022Q1,105.70,Normal value (A)
2021Q4,104.00,Normal value (A)
2021Q3,103.90,Normal value (A)
2021Q2,102.80,Normal value (A)
2021Q1,101.10,Normal value (A)
2020Q4,100.00,Normal value (A)
2020Q3,99.80,Normal value (A)
2020Q2,102.40,Normal value (A)
2020Q1,99.40,Normal value (A)
2019Q4,98.50,Normal value (A)
2019Q3,98.80,Normal value (A)
2019Q2,99.10,Normal value (A)
2019Q1,97.70,Normal value (A)
2018Q4,98.30,Normal value (A)
2018Q3,98.40,Normal value (A)
2018Q2,99.20,Normal value (A)
2018Q1,98.60,Normal value (A)
2017Q4,98.80,Normal value (A)
2017Q3,99.20,Normal value (A)
2017Q2,99.60,Normal value (A)
2017Q1,99.10,Normal value (A)
2016Q4,100.00,Normal value (A)
2016Q3,100.70,Normal value (A)
2016Q2,100.50,Normal value (A)
2016Q1,99.80,Normal value (A)
2015Q4,99.80,Normal value (A)
2015Q3,100.70,Normal value (A)
2015Q2,99.80,Normal value (A)
2015Q1,99.70,Normal value (A)
2014Q4,101.90,Normal value (A)
2014Q3,103.50,Normal value (A)
2014Q2,104.70,Normal value (A)
2014Q1,105.70,Normal value (A)
2013Q4,107.10,Normal value (A)
2013Q3,108.60,Normal value (A)
2013Q2,110.20,Normal value (A)
2013Q1,110.50,Normal value (A)
2012Q4,113.60,Normal value (A)
2012Q3,115.90,Normal value (A)
2012Q2,118.10,Normal value (A)
2012Q1,119.00,Normal value (A)
2011Q4,119.50,Normal value (A)
2011Q3,120.30,Normal value (A)
2011Q2,120.70,Normal value (A)
2011Q1,118.30,Normal value (A)
2010Q4,118.90,Normal value (A)
2010Q3,118.80,Normal value (A)
2010Q2,117.90,Normal value (A)
2010Q1,116.80,Normal value (A)
2009Q4,118.59,Normal value (A)
2009Q3,119.36,Normal value (A)
2009Q2,119.18,Normal value (A)
2009Q1,119.31,Normal value (A)
2008Q4,118.89,Normal value (A)
2008Q3,120.73,Normal value (A)
2008Q2,120.21,Normal value (A)
2008Q1,119.03,Normal value (A)
2007Q4,118.27,Normal value (A)
2007Q3,117.65,Normal value (A)
2007Q2,116.05,Normal value (A)
2007Q1,114.74,Normal value (A)
2006Q4,113.25,Normal value (A)
2006Q3,112.49,Normal value (A)
2006Q2,110.49,Normal value (A)
2006Q1,108.39,Normal value (A)
2005Q4,107.23,Normal value (A)
2005Q3,106.28,Normal value (A)
2005Q2,104.24,Normal value (A)
2005Q1,102.35,Normal value (A)
2004Q4,100.44,Normal value (A)
2004Q3,98.92,Normal value (A)
2004Q2,96.40,Normal value (A)
2004Q1,94.49,Normal value (A)
2003Q4,93.52,Normal value (A)
2003Q3,92.94,Normal value (A)
2003Q2,91.25,Normal value (A)
2003Q1,90.04,Normal value (A)
2002Q4,88.05,Normal value (A)
2002Q3,87.40,Normal value (A)
2002Q2,86.36,Normal value (A)
2002Q1,84.58,Normal value (A)
2001Q4,79.99,Normal value (A)
2001Q3,77.91,Normal value (A)
2001Q2,76.27,Normal value (A)
2001Q1,75.32,Normal value (A)
2000Q4,74.46,Normal value (A)
2000Q3,73.61,Normal value (A)
2000Q2,72.62,Normal value (A)
2000Q1,72.01,Normal value (A)
1999Q4,71.00,Normal value (A)
1999Q3,70.60,Normal value (A)
1999Q2,70.26,Normal value (A)
1999Q1,69.81,Normal value (A)
1998Q4,69.96,Normal value (A)
1998Q3,69.94,Normal value (A)
1998Q2,69.80,Normal value (A)
1998Q1,69.05,Normal value (A)
1997Q4,70.00,Normal value (A)
1997Q3,69.68,Normal value (A)
1997Q2,69.65,Normal value (A)
1997Q1,69.51,Normal value (A)
1996Q4,68.42,Normal value (A)
1996Q3,67.73,Normal value (A)
1996Q2,66.92,Normal value (A)
1996Q1,66.61,Normal value (A)
1995Q4,65.94,Normal value (A)
1995Q3,65.34,Normal value (A)
1995Q2,64.55,Normal value (A)
1995Q1,63.87,Normal value (A)
1994Q4,64.24,Normal value (A)
1994Q3,64.66,Normal value (A)
1994Q2,64.11,Normal value (A)
1994Q1,64.67,Normal value (A)
1993Q4,65.14,Normal value (A)
1993Q3,65.85,Normal value (A)
1993Q2,65.22,Normal value (A)
1993Q1,64.69,Normal value (A)
1992Q4,63.98,Normal value (A)
1992Q3,63.29,Normal value (A)
1992Q2,62.08,Normal value (A)
1992Q1,59.64,Normal value (A)
1991Q4,56.04,Normal value (A)
1991Q3,54.72,Normal value (A)
1991Q2,53.91,Normal value (A)
1991Q1,52.00,Normal value (A)
1990Q4,49.41,Normal value (A)
1990Q3,47.39,Normal value (A)
1990Q2,46.01,Normal value (A)
1990Q1,44.21,Normal value (A)
