,input_string,formatted_address,latitude,longitude,accuracy,google_place_id,type,status
0,"2 CROMCASTLE AVE, KILMORE, DUBLIN 5,Dublin,Ireland","2 Cromcastle Ave, Kilmore, Dublin 5, D05 EE30, Ireland",53.3930272,-6.218770399999999,ROOFTOP,ChIJzWR5WtIPZ0gRXhwYI22hcOM,street_address,OK
1,"4 FRANKFORT AVE, RATHGAR, DUBLIN 6,Dublin,Ireland","4 Frankfort Ave, Dublin 6, D06 ND99, Ireland",53.3170371,-6.2694252,ROOFTOP,ChIJC5QBsQYMZ0gR-TwIaa5bVbk,street_address,OK
2,"39 CHARLEMONT RD, CLONTARF, DUBLIN 3,Dublin,Ireland","39 Charlemont Rd, Clontarf, Dublin 3, D03 F593, Ireland",53.3666413,-6.226446699999999,ROOFTOP,ChIJC7K4pVEOZ0gRLAEHJ5F0o_8,street_address,OK
3,"19 OAKLEY PARK, BLACKROCK, DUBLIN,Dublin,Ireland","19 Oakley Park, Newtown Castlebyrn, Blackrock, Co. Dublin, A94 R2X9, Ireland",53.28956059999999,-6.1785494,ROOFTOP,ChIJM6txqO4IZ0gRmUwo2-oROe0,street_address,OK
4,"12 RADCLIFFE HALL, ST JOHNS RD, SANDYMOUNT,Dublin,Ireland","St John's Rd, Dublin, Ireland",53.324764,-6.2090184,GEOMETRIC_CENTER,ChIJfYgYx9cOZ0gRFWHonmgzbPc,route,OK
5,"APT 77 MERCHAMP, SEAFIELD RD EAST, DUBLIN 3,Dublin,Ireland","Merchamp, Seafield Rd E, Clontarf, Dublin 3, Ireland",53.3635195,-6.1943787,ROOFTOP,ChIJrSg2N6EPZ0gR79hIRAiYaWY,premise,OK
6,"12 The Rise, St. Marnock's Bay, Station Road,Dublin,Ireland","Portmarnock, Co. Dublin, Ireland",53.41801969999999,-6.149158799999999,GEOMETRIC_CENTER,ChIJV9c4ZGkbZ0gRb5Otz3Ph5Lk,"convenience_store,establishment,food,point_of_interest,store",OK
7,"36 SEAFIELD CRESCENT, STILLORGAN RD, BLACKROCK,Dublin,Ireland","36 Seafield Cres, Booterstown, Blackrock, Co. Dublin, A94 WY95, Ireland",53.3072885,-6.207974099999999,ROOFTOP,ChIJXYVj4ygJZ0gRFAR8Sm0T--A,street_address,OK
8,"29 Hollywoodrath Crescent, Hollystown,Dublin,Ireland","29 Hollywoodrath, Co. Dublin, Ireland",53.42353379999999,-6.367806400000001,RANGE_INTERPOLATED,EiUyOSBIb2xseXdvb2RyYXRoLCBDby4gRHVibGluLCBJcmVsYW5kIjASLgoUChIJkXTZUugSZ0gRIQbrzJaBg8EQHSoUChIJz5HfQ-gSZ0gRhdy6SK6v4zE,street_address,OK
9,"36 NAAS RD, INCHICORE, DUBLIN 12,Dublin,Ireland","36 Naas Rd, Inchicore, Dublin 12, D12 X993, Ireland",53.3325085,-6.3301475,ROOFTOP,ChIJZw2ta_MMZ0gRAZaM20HO7ws,premise,OK
10,"25 Dodderbrook Park, Ballycullen,Dublin,Ireland","25 Dodderbrook Ave., Oldcourt, Dublin, D24 X2KR, Ireland",53.26848580000001,-6.3432381,ROOFTOP,ChIJH_R43CYLZ0gRM4XbfnEsGns,street_address,OK
11,"47 BEAUVALE PARK, BEAUMONT, DUBLIN 9,Dublin,Ireland","47 Beauvale Park, Beaumont, Dublin 5, D05 W5T7, Ireland",53.385068,-6.2201695,ROOFTOP,ChIJWbVuWssPZ0gRh6undHNSNl4,street_address,OK
12,"23 BELCAMP AVE, DUBLIN 17, DUBLIN,Dublin,Ireland","23 Belcamp Ave, Priorswood, Dublin 17, D17 Y822, Ireland",53.3997854,-6.196336,ROOFTOP,ChIJq9KBguAPZ0gRXsSYx5J1340,street_address,OK
13,"7 BEECHFIELD VIEW, CLONEE, MEATH,Dublin,Ireland","7 Beechfield View, Castaheany, Clonee, Co. Dublin, D15 N8N4, Ireland",53.4030733,-6.436632299999999,ROOFTOP,ChIJ9Z1A2G9tZ0gRwcD9ngbLgNU,street_address,OK
14,"132 CEDARBROOK AVE, CHERRYORCHARD, DUBLIN 10,Dublin,Ireland","132 Cedar Brook Ave, Ballyfermot - Drimnagh, Dublin, Ireland",53.335648,-6.380073899999999,RANGE_INTERPOLATED,EjwxMzIgQ2VkYXIgQnJvb2sgQXZlLCBCYWxseWZlcm1vdCAtIERyaW1uYWdoLCBEdWJsaW4sIElyZWxhbmQiMRIvChQKEgkBEIsiM3NnSBGcdlOCGwdKXxCEASoUChIJd3sAHzNzZ0gRmbIJTMz6W2I,street_address,OK
15,"55 BLACKHALL SQ, BRUNSWICK ST, DUBLIN 7,Dublin,Ireland","55 Blackhall Pl, Smithfield, Dublin, Ireland",53.3484959,-6.281840600000001,ROOFTOP,ChIJ4xkTFi4MZ0gRHCnx1eKMYGw,street_address,OK
16,"20 Castleland Park Place, Balbriggan, Co Dublin,Dublin,Ireland","20 Castleland Park Pl, Castleland, Balbriggan, Co. Dublin, Ireland",53.5986171,-6.179438300000001,ROOFTOP,ChIJL06At5QiZ0gRsEFZhO3Oblc,premise,OK
17,"18  THE ASHES, ELMFIELD, LEOPARDSTOWN,Dublin,Ireland","Ballyogan Rd, Murphystown, Dublin 18, Ireland",53.260395,-6.2074432,GEOMETRIC_CENTER,ChIJT3AZn7oJZ0gRsU5NofVDIec,"establishment,point_of_interest",OK
18,"23 Atkinson Drive, Belmont  Aikens Village, Stepaside,Dublin,Ireland","23 Atkinson Dr, Murphystown, Dublin 18, D18 EW71, Ireland",53.2663108,-6.2203618,ROOFTOP,ChIJuykXIKIJZ0gRu6wTgqfgsu4,street_address,OK
19,"APARTMENT 5, AVONDALE HALL, 151 - 152 PARNELL ST,Dublin,Ireland","151, 152 Parnell St, Rotunda, Dublin, Ireland",53.3533968,-6.2601553,ROOFTOP,ChIJqX5H_IYOZ0gRH5d-5xRRzyY,"establishment,lodging,point_of_interest",OK
20,"44 RUSHBROOK, BLANCHARDSTOWN, DUBLIN 15,Dublin,Ireland","44 Rushbrook, Blanchardstown, Dublin 15, D15 F83R, Ireland",53.3861372,-6.380413,ROOFTOP,ChIJPTPCG1ENZ0gRMtq1M-kXWnk,premise,OK
21,"1 CHURCH GROVE, AYLESBURY, TALLAGHT DUBLIN 24,Dublin,Ireland","1 Church Grove, Oldbawn, Dublin 24, D24 P9HD, Ireland",53.275354,-6.367314100000001,ROOFTOP,ChIJa7vfes10Z0gRRs2SS8UKx6c,street_address,OK
22,"1 Cluain Fada, Chapel Lane, Garristown,Dublin,Ireland","Cluain Fada, Chapel Ln, Garristown, Co. Dublin, Ireland",53.5658478,-6.378976499999999,ROOFTOP,ChIJF24qyn8VZ0gRjMiaW1bGrmo,premise,OK
23,"59 ST JAMESS WOOD, SOUTH CIRCULAR RD, DUBLIN 8,Dublin,Ireland","St. James's Wood, S Circular Rd, Saint James' (part of Phoenix Park), Dublin 8, Ireland",53.3400145,-6.3056662,ROOFTOP,ChIJg-sUVkQMZ0gRvCa6cPKftZQ,premise,OK
24,"19 NEWBURY GROVE, CLONSHAUGH, DUBLIN 17,Dublin,Ireland","19 Newbury Grove, Clonshagh, Dublin, D17 Y735, Ireland",53.4012825,-6.215155999999999,ROOFTOP,ChIJVVigOtYPZ0gR7tR5u1A7JDg,street_address,OK
25,"14 CLONARD CLOSE, DUNDRUM, DUBLIN 16,Dublin,Ireland","16 Clonard Cl, Sandyford, Dublin 16, D16 T663, Ireland",53.2779093,-6.2383074,ROOFTOP,ChIJr9ZcmXAJZ0gRx-IHIK5jbTk,street_address,OK
26,"329 CAPTAINS ROAD, CRUMLIN, DUBLIN 12,Dublin,Ireland","329 Captain's Rd, Crumlin, Dublin 12, D12 F5W8, Ireland",53.321257,-6.3102282,ROOFTOP,ChIJT9letWQMZ0gRaoDMEUpVCwg,street_address,OK
27,"Apt 93 Abbot Court, Cualanor  Upper Glenageary Road, Dun Laoghaire,Dublin,Ireland","Abbot Court, Dún Laoghaire, Co. Contae Bhaile Átha Cliath, Ireland",53.2830319,-6.141126,ROOFTOP,ChIJU_SfwikGZ0gRMs7JXOksmeQ,premise,OK
28,"120-122  &120A, Lower Kilmacud Road, Stillorgan,Dublin,Ireland",,,,,,,ZERO_RESULTS
29,"22 LANSDOWNE WOOD, LANSDOWNE ROAD, DUBLIN 4,Dublin,Ireland","Lansdowne Rd & Lansdowne Wood, Dublin, Ireland",53.3340494,-6.229597000000001,GEOMETRIC_CENTER,Ei5MYW5zZG93bmUgUmQgJiBMYW5zZG93bmUgV29vZCwgRHVibGluLCBJcmVsYW5kImYiZAoUChIJJZS1McIOZ0gRqD4KUQm_BeMSFAoSCSWUtTHCDmdIEag-ClEJvwXjGhQKEgkbwX_Vww5nSBEwjGdvjKy9CRoUChIJI1S-zcMOZ0gRD7Vs_bly3r4iCg1OIcofFV5wSfw,intersection,OK
30,"1 GRAFTON HALL, AUNGIER ST, DUBLIN,Dublin,Ireland","Grafton Hall, Aungier St, Dublin 2, D02 A008, Ireland",53.33888529999999,-6.2657713,ROOFTOP,ChIJGwLvEJ4OZ0gR8ZZ--MT54co,premise,OK
31,"70 FOXES GROVE, SHANKILL, DUBLIN,Dublin,Ireland","70 Foxes Grove, Shankill, Dublin, D18 RK71, Ireland",53.2316315,-6.117819,ROOFTOP,ChIJfQ-K3AKoZ0gRrEjUR2bW2b8,street_address,OK
32,"SAN MICHELLE, CASTLEKNOCK RD, DUBLIN 15,Dublin,Ireland","San Michelle, Castleknock Rd, Castleknock, Dublin 15, Ireland",53.3713866,-6.3579959,ROOFTOP,ChIJ82XqZxUNZ0gRqUnI2Svl-Qs,premise,OK
33,"Apt 6 New Bancroft Square, Main Street, Tallaght,Dublin,Ireland","Greenhills Rd, Tallaght, Dublin, Ireland",53.2873458,-6.357452400000001,GEOMETRIC_CENTER,ChIJTVBaDPILZ0gRBDC-dlQVwtA,"establishment,point_of_interest",OK
34,"26 Abbots Grove Park, Knocklyon,Dublin,Ireland","26 Abbots Grove Park, Co. Dublin, Ireland",53.2691776,-6.3254481,RANGE_INTERPOLATED,EikyNiBBYmJvdHMgR3JvdmUgUGFyaywgQ28uIER1YmxpbiwgSXJlbGFuZCIwEi4KFAoSCYfpcEwcC2dIEfbYVbsIaTktEBoqFAoSCdV5DD8cC2dIEWNSRLiVIul3,street_address,OK
35,"8 temple view, neptune house, temple crescent,Dublin,Ireland","Dublin, Ireland",53.3498053,-6.2603097,APPROXIMATE,ChIJL6wn6oAOZ0gRoHExl6nHAAo,"locality,political",OK
36,"4 HENLEY PARK, CHURCHTOWN, DUBLIN 14,Dublin,Ireland","Lisnabrin, 4 Henley Park, Churchtown Lower, Dublin 14, D14 PF82, Ireland",53.2969435,-6.2552752,ROOFTOP,ChIJFdUjNV8JZ0gRQMDP9mqLLQ0,street_address,OK
37,"8 Lonsdale, 726-728 Howth Road, RAHENY,Dublin,Ireland","Lonsdale, 728 Howth Rd, Raheny - Foxfield, Dublin 5, D05 XD63, Ireland",53.3816789,-6.1549871,ROOFTOP,ChIJOyDrFmcFZ0gRc-4dJ1ovI28,premise,OK
38,"102 TORCAILL, PORTMARNOCK, DUBLIN,Dublin,Ireland","102 Torcaill, Sainthelens, Portmarnock, Co. Dublin, D13 RY16, Ireland",53.43580439999999,-6.1415316,ROOFTOP,ChIJFfiO1O0aZ0gRjT_AioLdBU0,street_address,OK
39,"THE SETT, WRENS NEST, DUBLIN,Dublin,Ireland","The Sett, Offington Ave, Howth Demesne, Dublin 13, Ireland",53.38792429999999,-6.094847199999999,ROOFTOP,ChIJAyP-ycIEZ0gRVXZpRhBK5ZU,premise,OK
40,"62 EAST ARRAN ST, DUBLIN 7,Dublin,Ireland","62 Arran St E, Smithfield, Dublin, D07 RV10, Ireland",53.34638100000001,-6.2702145,ROOFTOP,ChIJvSnvPygMZ0gR97yDxaFdggg,street_address,OK
41,"8 Cuil Duin Avenue, Cuil Duin, Citywest,Dublin,Ireland","8 Cúil Dúin Ave, Fortunestown, Dublin, D24 E22R, Ireland",53.2854734,-6.432561499999999,ROOFTOP,ChIJHZ-W5WZ0Z0gRNsyRGyfwftQ,street_address,OK
42,"223 COWPER DOWNS, RATHMINES, DUBLIN 6,Dublin,Ireland","Cowper Downs, Rathmines, Dublin, Ireland",53.3162305,-6.2623838,GEOMETRIC_CENTER,ChIJF0JqwwEMZ0gRSsFhqATkrsA,route,OK
43,"7 MOUNT ANDREW CRESCENT, LUCAN, DUBLIN,Dublin,Ireland","7 Mount Andrew Cres, Yellow Walls, Lucan, Co. Dublin, K78 XR74, Ireland",53.3569129,-6.4124995,ROOFTOP,ChIJIbgPhedyZ0gRhXwr-QbpSrM,street_address,OK
